t_s,ref_x_mm,ref_y_mm,pose_x_mm,pose_y_mm,err_mm,u1_mm,u2_mm,u3_mm
33.6000,250.7165,-50.6597,249.5830,-52.5143,2.1736,-4.4452,2.6736,0.7763
33.8000,251.2417,-49.6248,250.1291,-51.5822,2.2515,-4.3819,2.6520,0.7615
34.0000,251.7557,-48.5410,250.6652,-50.5992,2.3293,-4.3188,2.6334,0.7458
34.2000,252.2581,-47.4093,251.1907,-49.5662,2.4066,-4.2560,2.6179,0.7291
34.4000,252.7485,-46.2308,251.7049,-48.4844,2.4835,-4.1935,2.6053,0.7115
34.6000,253.2262,-45.0067,252.2076,-47.3546,2.5594,-4.1313,2.5957,0.6930
34.8000,253.6909,-43.7381,252.6982,-46.1781,2.6342,-4.0694,2.5889,0.6735
35.0000,254.1421,-42.4264,253.1761,-44.9559,2.7077,-4.0078,2.5850,0.6532
35.2000,254.5794,-41.0728,253.6409,-43.6893,2.7797,-3.9466,2.5838,0.6321
35.4000,255.0022,-39.6787,254.0922,-42.3797,2.8501,-3.8857,2.5853,0.6102
35.6000,255.4103,-38.2454,254.5295,-41.0281,2.9187,-3.8251,2.5894,0.5874
35.8000,255.8031,-36.7744,254.9523,-39.6360,2.9854,-3.7648,2.5960,0.5639
36.0000,256.1803,-35.2671,255.3603,-38.2048,3.0500,-3.7048,2.6051,0.5396
36.2000,256.5416,-33.7250,255.7530,-36.7359,3.1124,-3.6451,2.6165,0.5147
36.4000,256.8866,-32.1496,256.1301,-35.2307,3.1726,-3.5856,2.6301,0.4890
36.6000,257.2148,-30.5425,256.4912,-33.6906,3.2303,-3.5264,2.6459,0.4627
36.8000,257.5261,-28.9052,256.8359,-32.1173,3.2855,-3.4674,2.6637,0.4357
37.0000,257.8201,-27.2394,257.1639,-30.5123,3.3381,-3.4086,2.6834,0.4081
37.2000,258.0965,-25.5468,257.4750,-28.8772,3.3880,-3.3500,2.7049,0.3800
