t_s,ref_x_mm,ref_y_mm,pose_x_mm,pose_y_mm,err_mm,u1_mm,u2_mm,u3_mm
19.0000,220.2462,9.3861,220.5126,13.0563,3.6799,-5.2339,9.0256,-2.4967
19.2000,220.1577,7.5200,220.3778,11.2089,3.6954,-5.3257,9.0174,-2.4685
19.4000,220.0888,5.6465,220.2617,9.3508,3.7083,-5.4158,9.0047,-2.4383
19.6000,220.0395,3.7674,220.1640,7.4838,3.7184,-5.5041,8.9875,-2.4062
19.8000,220.0099,1.8846,220.0844,5.6095,3.7256,-5.5906,8.9660,-2.3722
20.0000,220.0000,0.0000,220.0228,3.7299,3.7300,-5.6751,8.9401,-2.3364
20.2000,220.0099,-1.8846,219.9795,1.8466,3.7314,-5.7574,8.9099,-2.2988
20.4000,220.0395,-3.7674,219.9544,-0.0387,3.7297,-5.8373,8.8752,-2.2595
20.6000,220.0888,-5.6465,219.9480,-1.9235,3.7257,-5.9148,8.8363,-2.2185
20.8000,220.1577,-7.5200,219.9604,-3.8065,3.7187,-5.9898,8.7931,-2.1759
21.0000,220.2462,-9.3861,219.9916,-5.6859,3.7089,-6.0620,8.7456,-2.1317
21.2000,220.3543,-11.2429,220.0421,-7.5597,3.6964,-6.1313,8.6940,-2.0860
21.4000,220.4817,-13.0886,220.1119,-9.4260,3.6812,-6.1976,8.6381,-2.0389
21.6000,220.6283,-14.9214,220.2012,-11.2830,3.6634,-6.2608,8.5782,-1.9904
21.8000,220.7941,-16.7395,220.3103,-13.1287,3.6430,-6.3207,8.5143,-1.9407
22.0000,220.9789,-18.5410,220.4391,-14.9614,3.6201,-6.3773,8.4464,-1.8897
22.2000,221.1824,-20.3243,220.5880,-16.7791,3.5946,-6.4304,8.3747,-1.8376
22.4000,221.4045,-22.0875,220.7569,-18.5801,3.5667,-6.4800,8.2992,-1.7845
22.6000,221.6449,-23.8289,220.9460,-20.3624,3.5363,-6.5259,8.2201,-1.7304
22.8000,221.9035,-25.5468,221.1552,-22.1242,3.5034,-6.5682,8.1375,-1.6754
23.0000,222.1799,-27.2394,221.3845,-23.8638,3.4681,-6.6066,8.0515,-1.6197
23.2000,222.4739,-28.9052,221.6338,-25.5793,3.4304,-6.6412,7.9623,-1.5634
23.4000,222.7852,-30.5425,221.9031,-27.2691,3.3902,-6.6720,7.8699,-1.5064
23.6000,223.1134,-32.1496,222.1923,-28.9313,3.3475,-6.6989,7.7747,-1.4490
23.8000,223.4584,-33.7250,222.5010,-30.5644,3.3025,-6.7218,7.6766,-1.3913
24.0000,223.8197,-35.2671,222.8291,-32.1666,3.2549,-6.7408,7.5759,-1.3332
24.2000,224.1969,-36.7744,223.1761,-33.7365,3.2048,-6.7559,7.4727,-1.2751
24.4000,224.5897,-38.2454,223.5420,-35.2722,3.1524,-6.7671,7.3673,-1.2168
24.6000,224.9978,-39.6787,223.9260,-36.7726,3.0974,-6.7744,7.2598,-1.1586
24.8000,225.4206,-41.0728,224.3278,-38.2361,3.0400,-6.7779,7.1504,-1.1006
25.0000,225.8579,-42.4264,224.7469,-39.6613,2.9800,-6.7777,7.0392,-1.0428
25.2000,226.3091,-43.7381,225.1825,-41.0469,2.9175,-6.7737,6.9266,-0.9853
25.4000,226.7738,-45.0067,225.6341,-42.3917,2.8526,-6.7661,6.8126,-0.9282
25.6000,227.2515,-46.2308,226.1008,-43.6943,2.7853,-6.7549,6.6976,-0.8717
25.8000,227.7419,-47.4093,226.5821,-44.9537,2.7157,-6.7403,6.5816,-0.8158
26.0000,228.2443,-48.5410,227.0765,-46.1690,2.6439,-6.7223,6.4650,-0.7607
26.2000,228.7583,-49.6248,227.5766,-47.3411,2.5714,-6.7018,6.3486,-0.7064
26.4000,229.2835,-50.6597,228.0841,-48.4674,2.4989,-6.6785,6.2324,-0.6532
26.6000,229.8192,-51.6445,228.6010,-49.5463,2.4262,-6.6524,6.1164,-0.6011
26.8000,230.3649,-52.5784,229.1279,-50.5767,2.3531,-6.6234,6.0006,-0.5501
27.0000,230.9202,-53.4604,229.6649,-51.5575,2.2797,-6.5917,5.8850,-0.5002
27.2000,231.4844,-54.2896,230.2118,-52.4877,2.2061,-6.5571,5.7700,-0.4514
27.4000,232.0570,-55.0653,230.7683,-53.3662,2.1326,-6.5200,5.6555,-0.4039
27.6000,232.6375,-55.7866,231.3338,-54.1922,2.0595,-6.4802,5.5417,-0.3576
27.8000,233.2252,-56.4528,231.9079,-54.9651,1.9872,-6.4380,5.4288,-0.3126
28.0000,233.8197,-57.0634,232.4900,-55.6838,1.9161,-6.3935,5.3169,-0.2690
28.2000,234.4202,-57.6176,233.0794,-56.3478,1.8467,-6.3467,5.2063,-0.2267
28.4000,235.0262,-58.1150,233.6757,-56.9564,1.7794,-6.2978,5.0970,-0.1859
28.6000,235.6371,-58.5550,234.2782,-57.5090,1.7149,-6.2469,4.9891,-0.1466
28.8000,236.2524,-58.9372,234.8863,-58.0050,1.6539,-6.1940,4.8830,-0.1088
29.0000,236.8713,-59.2613,235.4994,-58.4440,1.5969,-6.1394,4.7785,-0.0726
29.2000,237.4933,-59.5269,236.1169,-58.8255,1.5448,-6.0830,4.6760,-0.0379
29.4000,238.1178,-59.7337,236.7381,-59.1491,1.4984,-6.0251,4.5756,-0.0049
29.6000,238.7442,-59.8816,237.3626,-59.4146,1.4584,-5.9658,4.4773,0.0266
29.8000,239.3718,-59.9704,237.9895,-59.6215,1.4256,-5.9051,4.3814,0.0563
30.0000,240.0000,-60.0000,238.6183,-59.7699,1.4007,-5.8431,4.2878,0.0844
